Ticker,Model,RMSE
AAPL,GARCH,8.13443795041102
AAPL,HAR,8.157360023678704
AAPL,RFSV,6.991781208787817
AMD,GARCH,7.98688171070667
AMD,HAR,9.51259637413279
AMD,RFSV,7.6193649015679865
AMZN,GARCH,7.859068106621793
AMZN,HAR,8.594635028411775
AMZN,RFSV,5.923345978673656
GOOGL,GARCH,7.7082536790987355
GOOGL,HAR,8.528864270452697
GOOGL,RFSV,6.250866434612433
IBM,GARCH,8.645772496251261
IBM,HAR,9.090865035395856
IBM,RFSV,5.699635504392951
META,GARCH,6.576660549372461
META,HAR,8.731839406467847
META,RFSV,6.2171095032702555
MSFT,GARCH,6.548929091982646
MSFT,HAR,8.356451478114776
MSFT,RFSV,7.324221129971865
NVDA,GARCH,6.381880563284238
NVDA,HAR,8.939956506812004
NVDA,RFSV,7.127913720000327
SPY,GARCH,6.46419485792453
SPY,HAR,7.519404341721498
SPY,RFSV,5.776369365358932
TSLA,GARCH,8.222429491766324
TSLA,HAR,9.244312824659895
TSLA,RFSV,7.710961799623551
